title,list_label,link,salary,finish_days
Perlu Team Developer Untuk Membuat Aplikasi Perumahan (Web| Android| IOS),MySQL| Android| iPhone/iOS| PHP| CodeIgniter| Laravel Framework| ReactJS| React Native,https://projects.co.id/public/browse_projects/view/40751b/perlu-team-developer-untuk-membuat-aplikasi-perumahan-web-android-ios,Rp 20.000.000 - 25.000.000,45
Jasa Pembuatan WA Centang Hijau,Social Media Marketing (SMM)| Blue Tick Whatapp| Social Media,https://projects.co.id/public/browse_projects/view/3d751b/jasa-pembuatan-wa-centang-hijau,Rp 2.000.000 - 3.000.000,3
Dicari FANPAGE FB dengan follower banyak dan sehat,Facebook,https://projects.co.id/public/browse_projects/view/34751b/dicari-fanpage-fb-dengan-follower-banyak-dan-sehat,Rp 300.000 - 700.000,7
Pembuatan maskot 2d Company sepaket 20-30 maskot dengan berbagai Aksi,Advertising| Design Arts| Graphic Design| Illustration| Adobe Illustrator| 3D Animation| VisualBasic| Instagram| Grafis Vektor,https://projects.co.id/public/browse_projects/view/25751b/pembuatan-maskot-2d-company-sepaket-20-30-maskot-dengan-berbagai-aksi,Rp 2.000.000 - 3.000.000,30
Dicari !! Jasa Pembuatan Akun WhatsApp Official Business ( Centang Hijau S&K ),Customer Service| Telemarketing,https://projects.co.id/public/browse_projects/view/1f751b/dicari-jasa-pembuatan-akun-whatsapp-official-business-centang-hijau-sampk-,Rp 1.500.000 - 3.500.000,10
MEMBUAT TOKOPEDIA MENJADI OFFICIAL STORE,.NET Compact Framework| Administration,https://projects.co.id/public/browse_projects/view/19751b/membuat-tokopedia-menjadi-official-store,Rp 150.000 - 200.000,7
UI Web Base (HTML| CSS| Javascript) untuk Website Product,Web Design| Website Building| Website Templates,https://projects.co.id/public/browse_projects/view/16751b/ui-web-base-html-css-javascript-untuk-website-product,Rp 1.000.000 - 4.000.000,7
Pembuatan Copywriting company profile,Copywriter,https://projects.co.id/public/browse_projects/view/07751b/pembuatan-copywriting-company-profile,Rp 200.000 - 300.000,3
Video Editor Untuk Konten TIktok,Video Editing| Video Animation,https://projects.co.id/public/browse_projects/view/f0731b/video-editor-untuk-konten-tiktok,Rp 150.000 - 400.000,7
Dicari Pembuatan WA Verif / Jual WA Verif,Customer Service| Phone Support| Support Service| Technical Support| Social Media Marketing (SMM)| Blue Tick Whatapp| Social Media,https://projects.co.id/public/browse_projects/view/04751b/dicari-pembuatan-wa-verif-jual-wa-verif,Rp 3.000.000 - 5.000.000,7
Dicari Pembuatan WA Verif / Jual WA Verif,Customer Service| Support Service| Social Media Marketing (SMM)| Social Media,https://projects.co.id/public/browse_projects/view/f8741b/dicari-pembuatan-wa-verif-jual-wa-verif,Rp 3.000.000 - 5.000.000,7
